Timestamp,Sensor_1,Sensor_2
20:53:07,ets Jul 29 2019 12:21:46
20:53:07,rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
20:53:07,configsip: 0, SPIWP:0xee
20:53:07,clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
20:53:07,mode:DIO, clock div:1
20:53:07,load:0x3fff0030,len:4876
20:53:07,ho 0 tail 12 room 4
20:53:07,load:0x40078000,len:16560
20:53:07,load:0x40080400,len:3500
20:53:07,entry 0x400805b4
20:53:40,0.29, 297.86
20:53:40,0.24, 297.90
20:53:40,0.37, 297.98
20:53:40,0.38, 297.96
20:53:40,0.36, 297.86
20:53:40,0.50, 297.86
20:53:41,0.23, 297.84
20:53:41,0.22, 297.90
20:53:41,0.21, 297.86
20:53:41,0.22, 297.84
20:53:41,0.20, 297.84
20:53:41,0.21, 297.96
20:53:41,0.30, 298.08
20:53:41,0.36, 298.04
20:53:41,0.18, 298.02
20:53:41,0.32, 298.14
20:53:42,0.16, 298.04
20:53:42,0.30, 298.02
20:53:42,0.29, 298.04
20:53:42,0.29, 298.04
20:53:42,0.30, 297.98
20:53:42,0.36, 297.84
20:53:42,0.36, 297.96
20:53:42,0.36, 297.96
20:53:42,0.30, 297.90
20:53:43,0.30, 297.92
20:53:43,0.29, 297.86
20:53:43,0.30, 297.86
20:53:43,0.31, 297.92
20:53:43,0.37, 297.90
20:53:43,0.21, 297.92
20:53:43,0.20, 297.98
20:53:43,0.24, 298.02
20:53:43,0.32, 298.20
20:53:43,8.06, -1
20:53:44,0.42, 299.02
20:53:44,0.07, 298.90
20:53:44,0.09, 298.88
20:53:44,0.08, 298.68
20:53:44,0.08, 298.84
20:53:44,0.08, 298.90
20:53:44,0.10, 298.62
20:53:44,0.33, 299.02
20:53:44,0.28, 299.06
20:53:45,0.30, 299.30
20:53:45,0.30, 299.42
20:53:45,0.29, 299.58
20:53:45,0.27, 299.62
20:53:45,0.30, 299.68
20:53:45,0.24, 300.06
20:53:45,0.21, 300.08
20:53:45,0.20, 300.14
20:53:45,0.37, 300.08
20:53:45,0.20, 300.00
20:53:46,0.19, 300.08
20:53:46,0.20, 299.92
20:53:46,0.20, 299.62
20:53:46,0.17, 299.24
20:53:46,0.17, 298.88
20:53:46,0.21, 298.82
20:53:46,0.23, 298.84
20:53:46,0.26, 299.00
20:53:46,0.30, 299.06
20:53:47,0.44, 298.88
